,x0,x1,x2,x3,x4,x5,x6,x7,z,d,s,q
366,389,310,146,490,588,303,794,361,1,0,0,0
367,389,310,146,490,519,260,798,345,1,1,0,0
368,389,310,146,490,488,264,798,365,1,0,0,0
369,10,340,165,308,489,274,798,362,1,0,0,0
370,389,310,146,490,591,289,798,340,1,0,0,0
371,389,310,146,490,588,303,794,361,1,0,0,0
372,389,310,146,490,588,303,794,361,1,0,0,0
373,389,310,146,490,588,303,794,361,1,0,0,0
374,389,310,146,490,474,263,798,314,1,0,0,0
375,389,310,146,490,588,303,794,361,1,0,0,0
376,389,310,146,490,588,303,794,361,1,0,0,0
377,186,283,341,250,588,303,794,361,1,0,0,0
378,389,310,146,490,588,303,794,361,1,0,0,1
379,10,328,249,291,588,303,794,361,1,1,0,0
380,389,310,146,490,588,303,794,361,1,0,0,0
381,389,310,146,490,588,303,794,361,1,0,0,0
382,389,310,146,490,588,303,794,361,1,0,0,0
383,389,310,146,490,588,303,794,361,1,0,0,0
384,389,310,146,490,462,265,796,317,1,0,0,0
385,10,339,276,263,508,271,798,317,1,0,0,0
386,10,320,180,284,588,303,794,361,1,0,0,0
387,389,310,146,490,588,303,794,361,1,0,0,0
388,389,310,146,490,588,303,794,361,1,0,0,0
389,389,310,146,490,588,303,794,361,1,0,0,0
390,10,385,390,283,588,303,794,361,1,0,0,0
391,10,388,213,322,482,250,798,340,1,1,0,0
392,389,310,146,490,406,250,798,340,1,0,0,0
393,10,336,281,253,417,286,798,403,1,0,0,0
394,14,321,248,259,561,296,798,337,1,0,0,0
395,389,310,146,490,414,298,798,401,1,0,0,0
396,389,310,146,490,688,311,798,327,1,0,0,0
397,10,334,361,260,578,263,798,318,0,0,0,0
398,10,418,394,301,588,303,794,361,1,0,0,0
399,389,310,146,490,588,303,794,361,1,1,0,0
400,62,331,361,256,479,250,781,297,1,0,0,0
401,389,310,146,490,437,250,776,303,1,0,0,0
402,11,302,79,291,425,250,798,309,1,0,0,0
403,389,310,146,490,620,297,798,325,1,0,0,0
404,10,314,299,268,588,303,794,361,1,0,0,0
405,12,346,237,282,588,303,794,361,1,0,0,0
406,10,351,364,250,588,303,794,361,1,0,0,0
407,10,370,240,305,470,250,791,300,1,0,0,0
408,10,343,298,282,588,303,794,361,1,0,0,0
409,10,358,236,297,627,329,791,379,1,0,0,0
410,10,343,323,265,588,303,794,361,1,0,0,0
411,10,320,294,260,588,303,794,361,1,0,0,1
412,10,387,324,291,588,303,794,361,1,0,0,0
413,389,310,146,490,588,303,794,361,1,0,0,0
414,389,310,146,490,588,303,794,361,1,0,0,0
415,389,310,146,490,588,303,794,361,1,0,0,0
416,10,347,197,297,588,303,794,361,1,0,0,0
417,10,368,287,278,635,285,792,309,1,0,0,0
418,10,341,279,274,457,250,797,303,1,0,0,0
419,10,368,288,298,588,303,794,361,1,0,0,0
420,10,374,262,297,588,303,794,361,1,0,0,0
421,10,364,383,250,592,285,744,317,1,0,0,0
422,10,345,366,250,612,314,797,356,1,0,0,0
423,10,360,305,281,588,303,794,361,1,0,0,0
424,10,385,321,284,588,303,794,361,1,0,0,0
425,85,296,174,282,545,303,778,378,1,0,0,0
426,49,293,320,251,588,303,794,361,1,0,0,0
427,10,301,331,251,588,303,794,361,1,0,0,0
428,389,310,146,490,573,293,798,329,1,0,0,0
429,389,310,146,490,437,251,798,308,1,0,0,0
430,13,373,197,328,472,250,798,301,1,0,0,0
431,389,310,146,490,588,303,794,361,1,0,0,0
432,82,330,219,308,617,309,798,367,1,0,0,0
433,389,310,146,490,588,303,794,361,1,0,0,0
434,389,310,146,490,588,303,794,361,1,0,0,0
435,11,329,333,278,588,303,794,361,1,1,0,0
436,10,323,336,272,457,251,798,311,0,0,0,0
437,10,303,349,250,588,303,794,361,0,0,0,0
438,10,309,306,257,506,261,798,328,1,0,0,0
439,389,310,146,490,559,291,798,337,1,0,0,0
440,32,352,253,317,670,313,795,331,1,0,0,0
441,10,340,329,289,588,303,794,361,1,0,0,1
