Unnamed: 0.1,Unnamed: 0,x,y,w,h,label,z,d,s,q
429,429,544,240,710,282,1,1,0,0,0
430,430,408,241,492,269,1,1,0,0,0
431,431,598,244,666,268,1,1,0,0,0
432,432,314,242,394,260,1,1,0,0,0
433,433,112,256,306,324,1,1,0,0,0
434,434,772,242,782,278,1,0,0,0,1
435,435,712,247,726,271,1,0,0,0,1
436,436,276,266,348,290,1,0,0,0,1
437,437,228,242,456,326,1,1,0,0,0
438,438,404,240,420,256,1,0,1,0,0
439,439,186,255,220,273,1,0,0,0,0
440,440,182,246,252,266,1,0,0,0,0
441,441,499,236,519,256,1,0,0,0,0
442,442,662,164,736,272,1,0,0,0,0
443,443,558,72,804,354,1,0,0,0,0
444,444,497,246,521,264,1,0,0,0,0
445,445,412,104,424,122,1,0,0,0,0
446,446,614,39,626,69,1,1,0,0,0
447,447,420,35,432,65,1,1,0,0,0
448,448,569,252,591,270,1,1,0,0,0
449,449,368,228,414,290,1,1,0,0,0
450,450,696,166,802,346,1,1,0,0,0
451,451,534,258,556,282,1,1,0,0,0
452,452,296,235,366,309,1,1,0,0,0
453,453,-3,209,285,359,1,1,0,0,0
454,454,421,260,443,278,1,1,0,0,0
455,455,402,270,454,298,1,1,0,0,0
456,456,590,298,800,396,1,1,0,0,0
457,457,423,258,447,272,1,1,0,0,0
458,458,606,242,796,382,1,1,0,0,0
459,459,467,254,485,266,1,0,0,0,0
460,460,661,236,671,268,1,1,0,0,0
461,461,84,257,142,281,1,1,0,0,0
462,462,17,249,79,287,1,1,0,0,0
463,463,174,206,344,306,1,1,0,0,0
464,464,2,136,296,352,1,1,1,0,0
465,465,12,238,178,332,1,1,0,0,1
466,466,398,254,416,266,1,0,0,1,0
467,467,501,251,519,267,1,0,0,0,0
468,468,366,256,388,270,1,0,0,0,0
469,469,324,248,370,270,1,1,0,0,0
470,470,512,244,578,268,1,1,0,0,0
471,471,284,250,342,310,1,1,0,0,0
472,472,490,255,574,307,1,1,0,0,0
473,473,56,244,208,326,1,0,0,0,1
474,474,-8,214,102,398,1,1,0,0,0
475,475,82,211,216,299,1,1,0,0,0
